scientificname	longitude	latitude
Iphiseiodes zuluagai	-47.627222	-22.709167
Iphiseiodes zuluagai	-47.618889	-22.714722
Iphiseiodes zuluagai	-47.883333	-24.610833
Iphiseiodes zuluagai	-47.629722	-22.709722
Iphiseiodes zuluagai	-47.788056	-21.603611
Iphiseiodes zuluagai	-47.788056	-21.603611
Iphiseiodes zuluagai	-47.633333	-22.704444
Iphiseiodes zuluagai	-47.629722	-22.709722
Iphiseiodes zuluagai	-47.633333	-22.71
Iphiseiodes zuluagai	-47.788056	-21.603611
Iphiseiodes zuluagai	-47.788056	-21.603611
Iphiseiodes zuluagai	-47.627222	-22.709167
Iphiseiodes zuluagai	-47.8225	-21.913889
Leonseius regularis	-47.914167	-24.958333
Metaseiulus camelliae	-47.8225	-21.913889
Metaseiulus camelliae	-47.618889	-22.714722
Metaseiulus cornus	-47.788056	-21.603611
Neoparaphytoseius sooretamus	-34.95	-7.4
Neoparaphytoseius sooretamus	-39.291944	-14.770833
Neoparaphytoseius sooretamus	-39.447222	-13.511944
Neoparaphytoseius sooretamus	-39.447222	-13.511944
Neoseiulus veigai	-47.864167	-24.9125
Neoseiulus anonymus	-47.618889	-22.714722
Neoseiulus anonymus	-47.883333	-24.610833
Neoseiulus anonymus	-47.883333	-24.610833
Neoseiulus anonymus	-47.883333	-24.610833
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.788056	-21.603611
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.788056	-21.603611
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus bellottii	-47.8225	-21.913889
Neoseiulus idaeus	-41.051944	-11.435833
Neoseiulus idaeus	-41.051944	-11.435833
Neoseiulus tunus	-56.818333	-29.468889
Neoseiulus tunus	53.593333	-28.660833
Neoseiulus tunus	53.593333	-28.660833
Neoseiulus tunus	-52.55	-26.015278
Neoseiulus tunus	53.593333	-28.660833
Neoseiulus tunus	53.593333	-28.660833
Neoseiulus tunus	53.593333	-28.660833
Neoseiulus tunus	53.593333	-28.660833
Neoseiulus tunus	53.593333	-28.660833
Neoseiulus tunus	-52.55	-26.015278
Neoseiulus tunus	-52.666667	-26.216667
Neoseiulus tunus	-52.666667	-26.216667
Neoseiulus tunus	-52.666667	-26.216667
Neoseiulus tunus	-53.383333	-27.366667
Neoseiulus tunus	-52.4	-26.85
Neoseiulus tunus	-52.666667	-26.216667
Neoseiulus tunus	-53.467778	-25.914167
Neoseiulus tunus	-56.519167	-29.148889
